year,incumbent,state,total,dem,rep
2000,D,CA,10965856,5861203,4567429
2000,D,CO,1741365,738227,883745
2000,D,CT,1459525,816015,561094
2000,D,DC,201894,171923,18073
2000,D,DE,327622,180068,137288
2000,D,FL,5963110,2912253,2912790
2000,D,GA,2596804,1116230,1419720
2000,D,HI,367951,205286,137845
2000,D,IA,1315563,638517,634373
2000,D,ID,501621,138637,336937
2000,D,IL,4742123,2589026,2019421
2000,D,IN,2199302,901980,1245836
2000,D,KS,1072216,399276,622332
2000,D,KY,1544187,638898,872492
2000,D,LA,1765656,792344,927871
2000,D,MA,2702984,1616487,878502
2000,D,MD,2025480,1145782,813797
2000,D,ME,651817,319951,286616
2000,D,MI,4232711,2170418,1953139
2000,D,MN,2438685,1168266,1109659
2000,D,MO,2359892,1111138,1189924
2000,D,MS,994926,404964,573230
2000,D,MT,410997,137126,240178
2000,D,NC,2911262,1257692,1631163
2000,D,ND,288267,95284,174852
2000,D,NE,697019,231780,433862
2000,D,NH,569081,266348,273559
2000,D,NJ,3187226,1788850,1284173
2000,D,NM,598605,286783,286417
2000,D,NV,608970,279978,301575
2000,D,NY,6822668,4107907,2403374
2000,D,OH,4705457,2186190,2351209
2000,D,OK,1234229,474276,744337
2000,D,OR,1533968,720342,713577
2000,D,PA,4913119,2485967,2281127
2000,D,RI,409112,249508,130555
2000,D,SC,1383777,566039,786426
2000,D,SD,316269,118804,190700
2000,D,TN,2076181,981720,1061949
2000,D,TX,6407637,2433746,3799639
2000,D,UT,770754,203053,515096
2000,D,VA,2739447,1217290,1437490
2000,D,VT,294308,149022,119775
2000,D,WA,2488745,1247652,1108864
2000,D,WI,2598607,1242987,1237279
2000,D,WV,648124,295497,336475
2000,D,WY,218351,60481,147947
2004,R,AK,312598,111025,190889
2004,R,AL,1883449,693933,1176394
2004,R,AR,1054945,469953,572898
2004,R,AZ,2012585,893524,1104294
2004,R,CA,12419857,6745485,5509826
2004,R,CO,2130330,1001732,1101255
2004,R,CT,1578769,857488,693826
2004,R,DC,227586,202970,21256
2004,R,DE,375190,200152,171660
2004,R,FL,7609810,3583544,3964522
2004,R,GA,3301875,1366149,1914254
2004,R,HI,429013,231708,194191
2004,R,IA,1506908,741898,751957
2004,R,ID,598447,181098,409235
2004,R,IL,5274322,2891550,2345946
2004,R,IN,2468002,969011,1479438
2004,R,KS,1187756,434993,736456
2004,R,KY,1795860,712733,1069439
2004,R,LA,1943106,820299,1102169
2004,R,MA,2912388,1803800,1071109
2004,R,MD,2386678,1334493,1024703
2004,R,ME,740752,396842,330201
2004,R,MI,4839252,2479183,2313746
2004,R,MN,2828387,1445014,1346695
2004,R,MO,2731364,1259171,1455713
2004,R,MS,1152365,458094,684981
2004,R,MT,450445,173710,266063
2004,R,NC,3501007,1525849,1961166
2004,R,ND,312833,111052,196651
2004,R,NE,778186,254328,512814
2004,R,NH,677738,340511,331237
2004,R,NJ,3611691,1911430,1670003
2004,R,NM,756304,370942,376930
2004,R,NV,829587,397190,418690
2004,R,NY,7391036,4314280,2962567
2004,R,OH,5627908,2741167,2859768
2004,R,OK,1463758,503966,959792
2004,R,OR,1836782,943163,866831
2004,R,PA,5769590,2938095,2793847
2004,R,RI,437134,259760,169046
2004,R,SC,1617730,661699,937974
2004,R,SD,388215,149244,232584
2004,R,TN,2437319,1036477,1384375
2004,R,TX,7410765,2832704,4526917
2004,R,UT,927844,241199,663742
2004,R,VA,3198367,1454742,1716959
2004,R,VT,312309,184067,121180
2004,R,WA,2859084,1510201,1304894
2004,R,WI,2997007,1489504,1478120
2004,R,WV,755887,326541,423778
2004,R,WY,243428,70776,167629
2008,R,AK,326197,123594,193841
2008,R,AL,2099819,813479,1266546
2008,R,AR,1086617,422310,638017
2008,R,AZ,2303838,1034707,1230111
2008,R,CA,13577265,8274473,5011781
2008,R,CO,2401462,1288633,1073629
2008,R,CT,1646793,997773,629428
2008,R,DC,265853,245800,17367
2008,R,DE,412616,255459,152374
2008,R,FL,8411861,4282367,4046219
2008,R,GA,3932158,1844123,2048759
2008,R,HI,453568,325871,120566
2008,R,IA,1537123,828940,682379
2008,R,ID,658454,236440,403012
2008,R,IL,5528499,3419348,2031179
2008,R,IN,2756340,1374039,1345648
2008,R,KS,1238873,514765,699655
2008,R,KY,1827587,751985,1048462
2008,R,LA,1960761,782989,1148275
2008,R,MA,3081069,1904098,1108854
2008,R,MD,2631596,1629467,959862
2008,R,ME,731163,421923,295273
2008,R,MI,5010299,2872579,2048639
2008,R,MN,2910369,1573354,1275409
2008,R,MO,2929111,1441911,1445814
2008,R,MS,1289939,554662,724597
2008,R,MT,492750,232159,243882
2008,R,NC,4310789,2142651,2128474
2008,R,ND,317738,141403,168887
2008,R,NE,801281,333319,452979
2008,R,NH,710970,384826,316534
2008,R,NJ,3877407,2215422,1613207
2008,R,NM,830158,472422,346832
2008,R,NV,967848,533736,412827
2008,R,NY,7640948,4804945,2752771
2008,R,OH,5721815,2940044,2677820
2008,R,OK,1462661,502496,960165
2008,R,OR,1827864,1037291,738475
2008,R,PA,6015476,3276363,2655885
2008,R,RI,471766,296571,165391
2008,R,SC,1920969,862449,1034896
2008,R,SD,381975,170924,203054
2008,R,TN,2601982,1087437,1479178
2008,R,TX,8087402,3528633,4479328
2008,R,UT,957590,327670,596030
2008,R,VA,3723260,1959532,1725005
2008,R,VT,325046,219262,98974
2008,R,WA,3053254,1750848,1229216
2008,R,WI,2983417,1677211,1262393
2008,R,WV,714868,303857,397466
2008,R,WY,254658,82868,164958
2012,D,AL,2074338,795696,1255925
2012,D,AK,300495,122640,164676
2012,D,AZ,2299254,1025232,1233654
2012,D,AR,1069468,394409,647744
2012,D,CA,13038547,7854285,4839958
2012,D,CO,2569520,1323101,1185243
2012,D,CT,1558960,905083,634892
2012,D,DE,413921,242584,165484
2012,D,DC,293764,267070,21381
2012,D,FL,8474179,4237756,4163447
2012,D,GA,3900050,1773827,2078688
2012,D,HI,434697,306658,121015
2012,D,ID,652274,212787,420911
2012,D,IL,5242014,3019512,2135216
2012,D,IN,2624534,1152887,1420543
2012,D,IA,1582180,822544,730617
2012,D,KS,1159971,440726,692634
2012,D,KY,1797212,679370,1087190
2012,D,LA,1994065,809141,1152262
2012,D,ME,713180,401306,292276
2012,D,MD,2707327,1677844,971869
2012,D,MA,3167767,1921290,1188314
2012,D,MI,4730961,2564569,2115256
2012,D,MN,2936561,1546167,1320225
2012,D,MS,1285584,562949,710746
2012,D,MO,2757323,1223796,1482440
2012,D,MT,484048,201839,267928
2012,D,NE,794379,302081,475064
2012,D,NV,1014918,531373,463567
2012,D,NH,710972,369561,329918
2012,D,NJ,3640292,2125101,1477568
2012,D,NM,783758,415335,335788
2012,D,NY,7081159,4485741,2490431
2012,D,NC,4505372,2178391,2270395
2012,D,ND,322627,124827,188163
2012,D,OH,5580840,2827710,2661433
2012,D,OK,1334872,443547,891325
2012,D,OR,1789270,970488,754175
2012,D,PA,5753670,2990274,2680434
2012,D,RI,446049,279677,157204
2012,D,SC,1964118,865941,1071645
2012,D,SD,363815,145039,210610
2012,D,TN,2458577,960709,1462330
2012,D,TX,7993851,3308124,4569843
2012,D,UT,1017440,251813,740600
2012,D,VT,299290,199239,92698
2012,D,VA,3854489,1971820,1822522
2012,D,WA,3125516,1755396,1290670
2012,D,WV,670438,238269,417655
2012,D,WI,3068434,1620985,1407966
2012,D,WY,249061,69286,170962
2016,D,AZ,2573165,1161167,1252401
2016,D,CO,2780220,1338870,1202484
2016,D,FL,9420039,4504975,4617886
2016,D,IA,1566031,653669,800983
2016,D,ME,747927,357735,335593
2016,D,MI,4799284,2268839,2279543
2016,D,MN,2944813,1367716,1322951
2016,D,NV,1125385,539260,512058
2016,D,NH,744158,348526,345790
2016,D,NC,4741564,2189316,2362631
2016,D,OH,5496487,2394164,2841005
2016,D,PA,6115399,2926441,2970733
2016,D,WI,2976150,1382536,1405284
2016,D,AL,2123372,729547,1318255
2016,D,AK,318608,116454,163387
2016,D,AR,1130635,380494,684872
2016,D,CA,14141284,8753788,4483810
2016,D,CT,1644920,897572,673215
2016,D,DE,441590,235603,185127
2016,D,DC,311268,282830,12723
2016,D,GA,4092373,1877963,2089104
2016,D,HI,428937,266891,128847
2016,D,ID,690255,189765,409055
2016,D,IL,5536424,3090729,2146015
2016,D,IN,2734958,1033126,1557286
2016,D,KS,1184402,427005,671018
2016,D,KY,1924149,628854,1202971
2016,D,LA,2029032,780154,1178638
2016,D,MD,2781446,1677928,943169
2016,D,MA,3325046,1995196,1090893
2016,D,MS,1209357,485131,700714
2016,D,MO,2808605,1071068,1594511
2016,D,MT,497147,177709,279240
2016,D,NE,844227,284494,495961
2016,D,NJ,3874046,2148278,1601933
2016,D,NM,798318,385234,319666
2016,D,NY,7622328,4491191,2790073
2016,D,ND,344360,93758,216794
2016,D,OK,1452992,420375,949136
2016,D,OR,2001336,1002106,782403
2016,D,RI,464144,252525,180543
2016,D,SC,2103027,855373,1155389
2016,D,SD,370047,117442,227701
2016,D,TN,2508027,870695,1522925
2016,D,TX,8969226,3877868,4685047
2016,D,UT,1131430,310676,515231
2016,D,VT,315067,178573,95369
2016,D,VA,3982752,1981473,1769443
2016,D,WA,3365644,1742718,1221747
2016,D,WV,713051,188794,489371
2016,D,WY,255849,55973,174419
